// Description Diederik Jacques:
// PRIMITIVE VARIANT – CaO-SiO2-H2O
// Benchmark different geochemical models
// Cement Composition
// 100 grams of cement clinkers (Lothenbach et al., 2008)
//	Gram		Mol
// CaO	63 g		1.12345
// SiO2	18.9 g		0.31456
// Inert	18.1

// Water cement Ratio
// w/c 0.5 
// Temperature
// 25°C
// Geochemical model
// Thermodynamic database: CEMDATA18.1-16-01-2019-phaseVol.dat
// Activity model: to be checked 
// Model:
// Phases
//	Portlandite
// Solid solution
//	CSH: CSHQ-JenD, CSHQ-JenH, CSHQ-TobD, CSHQ-TobH


// We make the system electroneutral by adding H+/OH- so, we do not have to add O / H+

Var: 	Si.tot		Ca.tot		waterbalance
Data:   1.12345   	0.314558	50
Data:	3.38E-01	1.95E+00	1.06E+02
Data:	1.05E-01	1.94E-01	7.29E+01
Data:	2.78E-01	1.72E+00	1.11E+02
Data:	3.13E-01	6.18E-01	1.01E+02
Data:	2.74E-01	1.69E+00	8.38E+01
Data:	3.96E-01	1.59E-01	9.08E+01
Data:	1.95E-01	6.06E-01	8.61E+01
Data:	1.88E-01	1.21E+00	1.06E+02
Data:	2.45E-01	1.11E+00	5.67E+01
Data:	1.35E-01	1.09E+00	1.49E+02
Data:	2.13E-01	5.39E-01	1.15E+02
Data:	2.82E-01	1.39E-01	5.05E+01
Data:	2.57E-01	1.68E+00	1.35E+02
Data:	3.92E-01	1.26E+00	1.14E+02
Data:	2.55E-01	1.86E-01	8.74E+01
Data:	3.53E-01	1.57E+00	1.13E+02
Data:	1.53E-01	1.15E+00	1.19E+02
Data:	2.76E-01	1.33E+00	1.34E+02
Data:	2.30E-01	1.61E+00	7.39E+01
Data:	2.97E-01	1.22E+00	1.15E+02
Data:	2.91E-01	5.12E-01	1.31E+02
Data:	3.75E-01	6.67E-01	7.12E+01
Data:	1.58E-01	1.89E+00	9.88E+01
Data:	3.15E-01	1.92E+00	1.25E+02
Data:	1.24E-01	8.38E-01	9.60E+01
Data:	3.01E-01	4.35E-01	5.03E+01
Data:	2.01E-01	1.03E+00	1.14E+02
Data:	3.65E-01	3.89E-01	6.09E+01
Data:	3.49E-01	1.17E-01	1.50E+02
Data:	2.91E-01	1.94E+00	6.95E+01
Data:	2.70E-01	1.10E+00	1.11E+02
Data:	1.40E-01	8.00E-01	1.03E+02
Data:	3.30E-01	1.44E+00	7.31E+01
Data:	3.46E-01	2.76E-01	6.08E+01
Data:	2.18E-01	1.69E+00	1.27E+02
Data:	3.69E-01	9.55E-01	1.01E+02
Data:	2.90E-01	3.42E-01	1.37E+02
Data:	1.21E-01	5.05E-01	1.02E+02
Data:	2.43E-01	1.17E+00	1.09E+02
Data:	1.90E-01	1.29E+00	1.43E+02
Data:	1.99E-01	1.19E+00	8.97E+01
Data:	2.62E-01	1.51E+00	5.22E+01
Data:	3.59E-01	1.70E+00	1.32E+02
Data:	1.07E-01	1.86E+00	9.44E+01
Data:	2.17E-01	3.62E-01	1.14E+02
Data:	2.79E-01	2.17E-01	1.16E+02
Data:	2.74E-01	4.42E-01	9.98E+01
Data:	1.89E-01	1.49E+00	8.11E+01
Data:	1.81E-01	1.24E+00	6.71E+01
Data:	1.61E-01	1.49E+00	1.23E+02
Data:	3.69E-01	1.99E+00	8.08E+01
Data:	2.03E-01	1.79E+00	1.34E+02
Data:	3.36E-01	1.52E+00	1.49E+02
Data:	2.20E-01	1.47E+00	1.47E+02
Data:	1.12E-01	8.31E-01	5.48E+01
Data:	2.50E-01	4.62E-01	1.37E+02
Data:	2.66E-01	6.16E-01	9.34E+01
Data:	1.17E-01	1.90E+00	9.03E+01
Data:	2.10E-01	5.79E-01	1.32E+02
Data:	2.53E-01	1.97E+00	9.99E+01
Data:	3.52E-01	1.27E+00	5.82E+01
Data:	1.57E-01	1.65E-01	6.78E+01
Data:	1.11E-01	2.50E-01	1.13E+02
Data:	3.99E-01	8.17E-01	1.03E+02
Data:	1.62E-01	7.21E-01	1.38E+02
Data:	2.06E-01	1.46E+00	6.61E+01
Data:	1.18E-01	1.58E+00	1.41E+02
Data:	2.22E-01	1.68E+00	1.04E+02
Data:	2.98E-01	1.87E+00	1.45E+02
Data:	2.70E-01	1.77E+00	6.18E+01
Data:	2.09E-01	1.88E+00	6.46E+01
Data:	3.79E-01	2.28E-01	1.33E+02
Data:	3.57E-01	8.66E-01	1.03E+02
Data:	3.39E-01	6.23E-01	7.04E+01
Data:	2.21E-01	6.74E-01	1.09E+02
Data:	3.66E-01	1.27E+00	1.41E+02
Data:	2.68E-01	1.76E+00	1.50E+02
Data:	1.19E-01	1.00E+00	6.14E+01
Data:	1.82E-01	1.78E+00	5.79E+01
Data:	1.99E-01	1.12E+00	1.10E+02
Data:	1.63E-01	5.60E-01	8.90E+01
Data:	3.22E-01	8.46E-01	7.74E+01
Data:	1.32E-01	7.51E-01	7.81E+01
Data:	3.90E-01	1.08E+00	1.39E+02
Data:	2.00E-01	4.81E-01	1.37E+02
Data:	1.87E-01	1.38E+00	1.08E+02
Data:	2.12E-01	7.87E-01	1.39E+02
Data:	2.76E-01	6.27E-01	1.19E+02
Data:	2.64E-01	1.95E+00	1.29E+02
Data:	2.68E-01	1.66E+00	1.21E+02
Data:	2.17E-01	1.91E+00	6.97E+01
Data:	1.70E-01	1.01E+00	1.29E+02
Data:	3.45E-01	5.48E-01	1.09E+02
Data:	3.31E-01	9.97E-01	1.22E+02
Data:	3.43E-01	8.83E-01	1.48E+02
Data:	3.90E-01	5.18E-01	8.57E+01
Data:	2.35E-01	1.84E+00	5.89E+01
Data:	2.83E-01	1.90E+00	8.41E+01
Data:	3.33E-01	1.12E+00	1.25E+02
Data:	2.84E-01	1.52E+00	8.81E+01
Data:	2.80E-01	1.03E+00	1.01E+02
Data:	2.72E-01	1.76E+00	8.09E+01
Data:	3.98E-01	2.80E-01	1.21E+02
Data:	2.00E-01	1.37E+00	1.31E+02
Data:	2.37E-01	1.73E-01	9.17E+01
Data:	3.90E-01	2.00E+00	9.73E+01
Data:	2.48E-01	1.72E+00	1.27E+02
Data:	3.11E-01	1.53E+00	1.33E+02
Data:	3.00E-01	1.35E+00	1.12E+02
Data:	2.65E-01	1.06E+00	5.37E+01
Data:	1.09E-01	1.20E+00	1.20E+02
Data:	3.07E-01	1.18E+00	1.32E+02
Data:	3.16E-01	1.41E+00	1.39E+02
Data:	3.19E-01	1.54E+00	8.17E+01
Data:	3.25E-01	7.26E-01	6.33E+01
Data:	1.50E-01	1.32E+00	1.48E+02
Data:	2.11E-01	1.42E+00	1.22E+02
Data:	2.38E-01	8.14E-01	7.71E+01
Data:	2.84E-01	1.73E+00	5.14E+01
Data:	2.73E-01	6.83E-01	1.07E+02
Data:	3.85E-01	4.43E-01	5.44E+01
Data:	1.88E-01	3.10E-01	8.46E+01
Data:	2.94E-01	7.33E-01	9.25E+01
Data:	3.93E-01	1.42E+00	5.63E+01
Data:	1.83E-01	9.01E-01	1.36E+02
Data:	2.88E-01	1.63E+00	8.70E+01
Data:	2.32E-01	1.48E+00	6.74E+01
Data:	1.75E-01	1.59E+00	7.78E+01
Data:	2.36E-01	8.09E-01	1.15E+02
Data:	1.93E-01	1.71E+00	5.31E+01
Data:	3.86E-01	1.43E+00	1.46E+02
Data:	2.77E-01	1.87E+00	1.11E+02
Data:	2.08E-01	1.10E+00	1.50E+02
Data:	1.01E-01	3.00E-01	1.24E+02
Data:	1.68E-01	1.71E-01	1.20E+02
Data:	3.77E-01	6.88E-01	1.10E+02
Data:	1.41E-01	8.29E-01	1.17E+02
Data:	3.02E-01	3.51E-01	1.11E+02
Data:	1.85E-01	1.85E+00	1.25E+02
Data:	1.71E-01	1.28E+00	6.31E+01
Data:	3.22E-01	1.29E+00	1.12E+02
Data:	1.34E-01	1.70E+00	5.29E+01
Data:	3.31E-01	2.57E-01	1.46E+02
Data:	2.71E-01	2.02E-01	7.58E+01
Data:	3.62E-01	7.12E-01	1.25E+02
Data:	1.81E-01	1.24E+00	6.87E+01
Data:	1.91E-01	1.44E+00	9.67E+01
Data:	1.98E-01	1.82E+00	6.19E+01
Data:	1.96E-01	1.69E+00	8.64E+01
Data:	1.70E-01	1.14E+00	1.46E+02
Data:	3.64E-01	7.54E-01	9.84E+01
Data:	2.19E-01	9.49E-01	1.24E+02
Data:	3.33E-01	1.99E-01	1.12E+02
Data:	3.68E-01	7.99E-01	7.35E+01
Data:	3.27E-01	1.20E+00	1.28E+02
Data:	1.64E-01	1.99E+00	1.24E+02
Data:	3.10E-01	1.77E-01	1.39E+02
Data:	2.70E-01	1.40E+00	5.25E+01
Data:	2.78E-01	7.36E-01	9.94E+01
Data:	1.25E-01	3.26E-01	1.43E+02
Data:	2.46E-01	1.96E+00	9.43E+01
Data:	1.25E-01	1.38E+00	1.07E+02
Data:	1.38E-01	1.09E+00	1.49E+02
Data:	1.53E-01	9.79E-01	8.28E+01
Data:	2.15E-01	2.44E-01	6.00E+01
Data:	3.91E-01	1.16E+00	9.50E+01
Data:	1.07E-01	1.50E+00	1.07E+02
Data:	1.15E-01	1.05E+00	1.47E+02
Data:	4.00E-01	1.67E+00	6.39E+01
Data:	1.76E-01	1.61E+00	5.73E+01
Data:	3.64E-01	1.31E+00	1.43E+02
Data:	3.72E-01	1.51E+00	9.63E+01
Data:	2.15E-01	1.02E+00	6.85E+01
Data:	2.49E-01	1.08E+00	8.75E+01
Data:	2.41E-01	7.05E-01	9.07E+01
Data:	3.70E-01	1.83E+00	9.88E+01
Data:	2.95E-01	1.18E+00	1.24E+02
Data:	3.88E-01	1.77E+00	1.30E+02
Data:	1.00E-01	2.36E-01	5.23E+01
Data:	3.75E-01	3.05E-01	1.36E+02
Data:	3.05E-01	1.03E-01	5.93E+01
Data:	3.82E-01	1.25E+00	9.93E+01
Data:	1.30E-01	8.88E-01	9.80E+01
Data:	3.48E-01	7.70E-01	6.27E+01
Data:	1.09E-01	1.17E+00	1.16E+02
Data:	3.52E-01	8.22E-01	9.78E+01
Data:	3.13E-01	4.31E-01	6.56E+01
Data:	2.59E-01	1.65E+00	1.42E+02
Data:	3.19E-01	1.39E+00	7.28E+01
Data:	2.25E-01	3.96E-01	1.08E+02
Data:	3.72E-01	8.70E-01	6.45E+01
Data:	2.43E-01	2.32E-01	1.18E+02
Data:	2.30E-01	1.45E+00	8.80E+01
Data:	1.01E-01	1.92E+00	6.83E+01
Data:	3.95E-01	2.07E-01	6.22E+01
Data:	1.33E-01	1.64E+00	5.28E+01
Data:	3.34E-01	1.59E+00	1.30E+02
Data:	3.14E-01	1.23E+00	8.25E+01
Data:	3.27E-01	9.89E-01	1.44E+02
Data:	1.10E-01	5.78E-01	9.15E+01
Data:	2.67E-01	1.34E-01	1.24E+02
Data:	3.43E-01	6.81E-01	7.34E+01
Data:	3.46E-01	9.60E-01	1.38E+02
Data:	1.24E-01	2.92E-01	8.01E+01
Data:	3.54E-01	3.78E-01	5.82E+01
Data:	2.04E-01	3.50E-01	8.00E+01
Data:	3.58E-01	1.04E+00	6.03E+01
Data:	1.98E-01	1.50E+00	1.04E+02
Data:	1.37E-01	3.15E-01	6.35E+01
Data:	2.53E-01	1.21E+00	1.06E+02
Data:	1.31E-01	6.89E-01	6.58E+01
Data:	2.60E-01	1.44E+00	1.15E+02
Data:	3.58E-01	1.31E+00	7.49E+01
Data:	1.26E-01	6.38E-01	1.38E+02
Data:	3.21E-01	1.81E+00	1.43E+02
Data:	1.43E-01	1.65E+00	1.34E+02
Data:	2.57E-01	3.73E-01	1.34E+02
Data:	2.47E-01	1.93E+00	9.27E+01
Data:	1.73E-01	6.00E-01	5.46E+01
Data:	1.03E-01	8.58E-01	1.29E+02
Data:	3.65E-01	2.04E-01	9.83E+01
Data:	2.56E-01	1.55E-01	7.02E+01
Data:	3.40E-01	8.55E-01	6.38E+01
Data:	1.03E-01	1.18E+00	1.45E+02
Data:	1.55E-01	3.60E-01	9.64E+01
Data:	1.30E-01	2.40E-01	1.05E+02
Data:	2.34E-01	2.12E-01	1.28E+02
Data:	2.27E-01	1.34E+00	1.11E+02
Data:	2.35E-01	5.91E-01	5.76E+01
Data:	2.29E-01	5.64E-01	7.85E+01
Data:	3.86E-01	1.10E+00	8.51E+01
Data:	3.02E-01	1.42E+00	1.29E+02
Data:	1.72E-01	1.44E-01	5.95E+01
Data:	1.69E-01	1.01E+00	1.30E+02
Data:	1.63E-01	3.24E-01	9.00E+01
Data:	2.18E-01	1.98E+00	8.58E+01
Data:	2.86E-01	4.78E-01	1.41E+02
Data:	3.38E-01	3.57E-01	1.44E+02
Data:	1.79E-01	1.11E+00	1.44E+02
Data:	2.02E-01	1.27E-01	8.39E+01
Data:	1.97E-01	1.07E+00	7.56E+01
Data:	1.78E-01	1.91E+00	1.33E+02
Data:	3.47E-01	9.26E-01	1.16E+02
Data:	3.56E-01	3.85E-01	1.09E+02
Data:	2.32E-01	1.16E+00	1.18E+02
Data:	1.54E-01	6.73E-01	1.17E+02
Data:	3.51E-01	1.75E+00	7.77E+01
Data:	1.56E-01	2.23E-01	1.35E+02
Data:	1.49E-01	1.13E+00	8.83E+01
Data:	1.22E-01	1.91E+00	9.05E+01
Data:	3.84E-01	6.12E-01	1.16E+02
Data:	1.85E-01	1.34E+00	5.47E+01
Data:	1.92E-01	1.98E+00	7.60E+01
Data:	2.96E-01	9.36E-01	1.46E+02
Data:	3.09E-01	1.75E+00	6.42E+01
Data:	2.08E-01	1.74E+00	1.23E+02
Data:	3.92E-01	4.97E-01	1.19E+02
Data:	2.75E-01	1.87E+00	1.29E+02
Data:	1.42E-01	1.48E+00	7.37E+01
Data:	2.83E-01	1.40E+00	8.86E+01
Data:	3.35E-01	4.21E-01	1.22E+02
Data:	1.57E-01	1.96E+00	5.55E+01
Data:	1.52E-01	7.76E-01	7.92E+01
Data:	3.89E-01	1.30E+00	7.13E+01
Data:	2.13E-01	1.54E+00	5.69E+01
Data:	3.77E-01	2.73E-01	6.54E+01
Data:	1.95E-01	4.08E-01	5.61E+01
Data:	3.44E-01	1.06E+00	1.02E+02
Data:	1.77E-01	1.30E+00	1.23E+02
Data:	3.25E-01	4.24E-01	1.48E+02
Data:	2.87E-01	2.53E-01	1.48E+02
Data:	2.81E-01	1.36E+00	1.43E+02
Data:	2.58E-01	1.02E+00	5.19E+01
Data:	3.73E-01	2.70E-01	5.57E+01
Data:	2.73E-01	1.30E+00	6.11E+01
Data:	1.67E-01	1.85E+00	1.41E+02
Data:	1.93E-01	4.90E-01	1.17E+02
Data:	2.82E-01	1.97E+00	1.00E+02
Data:	3.08E-01	1.66E+00	1.04E+02
Data:	2.02E-01	9.05E-01	8.13E+01
Data:	2.95E-01	1.21E+00	8.43E+01
Data:	1.49E-01	7.17E-01	1.36E+02
Data:	2.88E-01	7.45E-01	9.50E+01
Data:	2.51E-01	6.59E-01	7.19E+01
Data:	3.84E-01	1.13E+00	1.40E+02
Data:	2.86E-01	4.57E-01	1.38E+02
Data:	3.11E-01	1.80E-01	7.88E+01
Data:	3.62E-01	1.25E+00	1.06E+02
Data:	2.31E-01	8.91E-01	8.99E+01
Data:	1.19E-01	1.74E+00	8.78E+01
Data:	1.76E-01	4.47E-01	1.32E+02
Data:	3.24E-01	9.77E-01	1.33E+02
Data:	1.32E-01	1.51E+00	9.77E+01
Data:	2.94E-01	1.12E+00	1.42E+02
Data:	1.08E-01	7.02E-01	1.20E+02
Data:	1.22E-01	1.84E+00	7.84E+01
Data:	2.14E-01	1.22E+00	1.20E+02
Data:	1.80E-01	1.47E+00	1.23E+02
Data:	2.48E-01	1.81E+00	8.04E+01
Data:	3.78E-01	1.93E+00	5.10E+01
Data:	3.20E-01	1.35E+00	1.20E+02
Data:	3.55E-01	4.69E-01	1.05E+02
Data:	2.99E-01	1.80E+00	5.36E+01
Data:	3.08E-01	1.35E-01	1.10E+02
Data:	1.67E-01	1.77E+00	1.46E+02
Data:	3.16E-01	1.94E+00	5.85E+01
Data:	1.48E-01	7.83E-01	7.48E+01
Data:	2.60E-01	2.90E-01	8.63E+01
Data:	1.55E-01	4.55E-01	1.25E+02
Data:	3.08E-01	8.64E-01	7.41E+01
Data:	3.45E-01	1.14E+00	1.39E+02
Data:	3.38E-01	1.56E+00	1.44E+02
Data:	2.77E-01	6.30E-01	1.04E+02
Data:	2.44E-01	1.26E+00	9.42E+01
Data:	2.42E-01	6.94E-01	5.98E+01
Data:	2.03E-01	8.25E-01	9.28E+01
Data:	1.66E-01	1.60E+00	9.69E+01
Data:	2.33E-01	3.76E-01	1.18E+02
Data:	1.32E-01	1.43E+00	1.03E+02
Data:	1.05E-01	1.36E+00	7.21E+01
Data:	3.94E-01	6.34E-01	7.06E+01
Data:	3.84E-01	3.99E-01	1.14E+02
Data:	2.26E-01	1.05E+00	1.27E+02
Data:	1.14E-01	1.66E+00	1.19E+02
Data:	2.91E-01	1.04E+00	9.71E+01
Data:	2.89E-01	1.21E-01	1.08E+02
Data:	2.40E-01	7.66E-01	1.40E+02
Data:	2.36E-01	1.39E+00	1.12E+02
Data:	1.54E-01	1.93E+00	6.23E+01
Data:	3.76E-01	1.09E-01	8.26E+01
Data:	2.30E-01	5.75E-01	1.08E+02
Data:	1.12E-01	1.13E+00	6.63E+01
Data:	2.92E-01	6.40E-01	1.11E+02
Data:	3.60E-01	4.74E-01	8.54E+01
Data:	3.55E-01	8.43E-01	1.12E+02
Data:	3.57E-01	1.32E+00	5.40E+01
Data:	2.22E-01	5.70E-01	7.09E+01
Data:	3.48E-01	1.24E-01	9.54E+01
Data:	2.23E-01	9.18E-01	1.47E+02
Data:	3.67E-01	1.55E+00	1.37E+02
Data:	2.50E-01	1.80E+00	5.87E+01
Data:	1.89E-01	1.33E+00	8.93E+01
Data:	1.38E-01	8.36E-01	1.45E+02
Data:	2.05E-01	6.55E-01	7.96E+01
Data:	2.69E-01	1.64E+00	1.26E+02
Data:	1.37E-01	4.03E-01	1.28E+02
Data:	1.23E-01	8.96E-01	6.49E+01
Data:	1.27E-01	3.29E-01	8.69E+01
Data:	1.07E-01	1.56E+00	5.90E+01
Data:	1.65E-01	1.82E+00	9.30E+01
Data:	1.66E-01	3.66E-01	1.01E+02
Data:	3.50E-01	5.29E-01	1.26E+02
Data:	3.11E-01	4.17E-01	8.89E+01
Data:	1.60E-01	1.02E+00	7.23E+01
Data:	2.97E-01	5.86E-01	5.59E+01
Data:	2.52E-01	1.82E+00	5.53E+01
Data:	3.06E-01	3.35E-01	1.46E+02
Data:	1.80E-01	1.88E+00	1.31E+02
Data:	2.93E-01	1.78E+00	1.45E+02
Data:	1.44E-01	1.02E+00	9.59E+01
Data:	2.62E-01	1.47E+00	1.42E+02
Data:	2.12E-01	1.60E+00	8.54E+01
Data:	3.67E-01	1.31E+00	6.92E+01
Data:	1.94E-01	5.26E-01	7.52E+01
Data:	1.06E-01	1.63E+00	8.19E+01
Data:	3.32E-01	1.22E+00	8.33E+01
Data:	3.28E-01	1.67E+00	1.35E+02
Data:	3.15E-01	9.83E-01	8.49E+01
Data:	1.96E-01	8.72E-01	9.20E+01
Data:	3.61E-01	7.60E-01	1.49E+02
Data:	2.40E-01	1.56E+00	1.13E+02
Data:	2.20E-01	1.34E+00	1.30E+02
Data:	2.25E-01	2.97E-01	6.64E+01
Data:	3.61E-01	1.36E+00	1.26E+02
Data:	3.97E-01	1.86E+00	1.21E+02
Data:	3.81E-01	3.17E-01	7.58E+01
Data:	3.04E-01	2.85E-01	6.91E+01
Data:	1.69E-01	4.29E-01	7.43E+01
Data:	1.73E-01	1.46E+00	1.47E+02
Data:	3.83E-01	2.61E-01	1.02E+02
Data:	3.79E-01	1.75E+00	6.69E+01
Data:	1.47E-01	1.64E+00	8.24E+01
Data:	2.05E-01	1.57E+00	9.13E+01
Data:	3.03E-01	5.22E-01	5.70E+01
Data:	3.88E-01	1.79E+00	1.14E+02
Data:	2.99E-01	7.90E-01	7.16E+01
Data:	1.45E-01	1.37E+00	1.27E+02
Data:	2.06E-01	5.45E-01	1.40E+02
Data:	3.69E-01	9.72E-01	1.06E+02
Data:	2.63E-01	9.96E-01	1.01E+02
Data:	2.21E-01	1.28E+00	1.10E+02
Data:	3.41E-01	5.09E-01	6.74E+01
Data:	1.84E-01	1.54E+00	9.48E+01
Data:	1.39E-01	4.13E-01	8.44E+01
Data:	1.28E-01	8.05E-01	1.41E+02
Data:	3.53E-01	1.53E+00	1.41E+02
Data:	2.07E-01	1.71E+00	9.74E+01
Data:	1.27E-01	1.80E+00	6.77E+01
Data:	3.23E-01	9.08E-01	1.26E+02
Data:	2.85E-01	3.90E-01	1.13E+02
Data:	3.06E-01	1.28E+00	1.39E+02
Data:	1.60E-01	9.66E-01	6.30E+01
Data:	3.81E-01	4.86E-01	1.17E+02
Data:	3.34E-01	4.51E-01	5.40E+01
Data:	1.19E-01	1.64E-01	1.07E+02
Data:	3.50E-01	6.05E-01	1.18E+02
Data:	1.04E-01	2.21E-01	7.65E+01
Data:	1.46E-01	1.65E+00	1.28E+02
Data:	2.28E-01	5.21E-01	1.07E+02
Data:	3.28E-01	1.83E+00	1.17E+02
Data:	2.54E-01	6.44E-01	1.33E+02
Data:	1.72E-01	1.78E+00	7.63E+01
Data:	1.83E-01	1.90E+00	1.03E+02
Data:	3.26E-01	1.17E+00	9.57E+01
Data:	3.29E-01	1.46E+00	1.23E+02
Data:	1.65E-01	9.45E-01	1.09E+02
Data:	2.45E-01	9.42E-01	1.35E+02
Data:	1.78E-01	1.99E+00	7.17E+01
Data:	1.45E-01	7.10E-01	9.36E+01
Data:	2.28E-01	8.52E-01	6.82E+01
Data:	3.18E-01	1.84E+00	1.20E+02
Data:	3.47E-01	5.02E-01	7.67E+01
Data:	1.17E-01	1.51E-01	8.67E+01
Data:	2.57E-01	4.68E-01	1.15E+02
Data:	2.51E-01	1.12E-01	1.05E+02
Data:	3.87E-01	7.48E-01	7.95E+01
Data:	3.12E-01	1.08E+00	8.87E+01
Data:	1.51E-01	6.53E-01	1.34E+02
Data:	3.96E-01	5.57E-01	1.35E+02
Data:	1.44E-01	1.73E+00	1.21E+02
Data:	2.80E-01	9.70E-01	9.23E+01
Data:	2.49E-01	5.43E-01	5.51E+01
Data:	3.17E-01	1.73E+00	8.34E+01
Data:	3.60E-01	9.13E-01	1.19E+02
Data:	1.21E-01	9.13E-01	1.26E+02
Data:	1.29E-01	4.95E-01	1.42E+02
Data:	2.10E-01	2.64E-01	6.05E+01
Data:	3.42E-01	1.23E+00	1.03E+02
Data:	1.16E-01	7.94E-01	1.09E+02
Data:	2.54E-01	1.97E+00	7.70E+01
Data:	2.38E-01	1.60E+00	5.07E+01
Data:	2.98E-01	1.48E+00	6.99E+01
Data:	1.20E-01	1.15E+00	5.76E+01
Data:	2.64E-01	8.79E-01	7.25E+01
Data:	3.97E-01	1.62E+00	7.89E+01
Data:	3.01E-01	1.89E+00	8.04E+01
Data:	2.59E-01	1.07E+00	1.16E+02
Data:	3.20E-01	1.61E+00	1.36E+02
Data:	1.48E-01	5.34E-01	5.10E+01
Data:	1.75E-01	1.53E+00	8.21E+01
Data:	3.93E-01	1.06E-01	1.27E+02
Data:	1.28E-01	1.71E+00	1.00E+02
Data:	3.04E-01	1.27E+00	6.88E+01
Data:	2.39E-01	1.09E+00	1.45E+02
Data:	3.35E-01	1.88E+00	1.30E+02
Data:	3.98E-01	1.19E+00	6.51E+01
Data:	1.13E-01	1.56E+00	6.00E+01
Data:	3.29E-01	1.49E-01	1.47E+02
Data:	1.11E-01	3.44E-01	9.19E+01
Data:	3.63E-01	1.45E+00	1.49E+02
Data:	1.74E-01	1.39E+00	1.04E+02
Data:	3.36E-01	1.50E+00	7.45E+01
Data:	1.59E-01	6.49E-01	1.22E+02
Data:	3.71E-01	1.85E+00	8.32E+01
Data:	3.18E-01	9.24E-01	1.02E+02
Data:	3.42E-01	9.58E-01	5.32E+01
Data:	1.02E-01	1.41E+00	1.08E+02
Data:	2.41E-01	3.38E-01	6.60E+01
Data:	2.61E-01	9.90E-01	1.37E+02
Data:	2.43E-01	2.47E-01	6.15E+01
Data:	1.86E-01	1.87E-01	5.18E+01
Data:	1.88E-01	6.65E-01	1.22E+02
Data:	3.74E-01	1.58E+00	6.68E+01
Data:	1.39E-01	1.15E+00	7.05E+01
